,train,val,lr
355,-7.230255278045661e-06,-7.620294e-06,[0.000996893679511678]
356,-7.373923290288076e-06,-7.3276437e-06,[0.0009968761727372978]
357,-7.453879288732424e-06,-7.0615424e-06,[0.0009968586169232052]
358,-7.3830374276440125e-06,-6.9577336e-06,[0.0009968410120711332]
359,-7.290602297871374e-06,-7.1686372e-06,[0.000996823358182819]
360,-7.142763570300303e-06,-6.329763e-06,[0.0009968056552600055]
361,-7.164495173128671e-06,-7.4166223e-06,[0.0009967879033044393]
362,-7.297889305846184e-06,-7.1808636e-06,[0.0009967701023178728]
363,-7.301430105144391e-06,-6.57931e-06,[0.000996752252302063]
364,-7.3880119089153595e-06,-7.5361695e-06,[0.0009967343532587714]
365,-7.343031211348716e-06,-6.751013e-06,[0.0009967164051897645]
366,-7.230039864225546e-06,-6.494118e-06,[0.000996698408096814]
367,-7.304494056370459e-06,-7.4856184e-06,[0.000996680361981696]
368,-7.345788480961346e-06,-6.9877733e-06,[0.0009966622668461913]
369,-7.329088384722127e-06,-6.7880906e-06,[0.0009966441226920862]
370,-7.276638689290848e-06,-6.651788e-06,[0.000996625929521171]
371,-7.233938731587841e-06,-7.4543063e-06,[0.000996607687335242]
372,-7.307495570785249e-06,-7.470317e-06,[0.0009965893961360992]
373,-7.441160960297566e-06,-7.1404856e-06,[0.0009965710559255477]
374,-7.289580298674991e-06,-7.4012755e-06,[0.0009965526667053979]
375,-7.262541794261779e-06,-7.3834894e-06,[0.0009965342284774647]
376,-7.392751695078914e-06,-7.765826e-06,[0.0009965157412435677]
377,-7.35008948140603e-06,-6.9433477e-06,[0.0009964972050055317]
378,-7.36276297175209e-06,-7.580352e-06,[0.000996478619765186]
379,-7.429060087815742e-06,-7.3576007e-06,[0.0009964599855243653]
380,-7.5309102612663995e-06,-7.801807e-06,[0.0009964413022849083]
381,-7.322187502722954e-06,-7.4907903e-06,[0.000996422570048659]
382,-7.195613807198242e-06,-7.2749644e-06,[0.0009964037888174663]
383,-7.313850119317067e-06,-7.0225633e-06,[0.000996384958593184]
384,-7.324232274186215e-06,-7.569453e-06,[0.00099636607937767]
385,-7.420502515742555e-06,-7.2568473e-06,[0.0009963471511727881]
386,-7.548259372924804e-06,-7.2458056e-06,[0.0009963281739804066]
387,-7.321966950257774e-06,-7.708322e-06,[0.0009963091478023978]
388,-7.393051055260002e-06,-7.4309905e-06,[0.0009962900726406402]
389,-7.295840714505175e-06,-6.49968e-06,[0.0009962709484970162]
390,-7.302799804165261e-06,-6.578383e-06,[0.0009962517753734131]
391,-7.243799291245523e-06,-7.3467068e-06,[0.0009962325532717235]
392,-7.4603542088880205e-06,-7.6173224e-06,[0.0009962132821938442]
